

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2017-12-19,50,50,0,0.00,1800,
FREN,2017-12-18,50,50,0,0.00,0,
FREN,2017-12-15,50,50,0,0.00,10000,
FREN,2017-12-14,50,50,0,0.00,5100,
FREN,2017-12-13,50,50,0,0.00,6500,
FREN,2017-12-12,50,50,0,0.00,20200,
FREN,2017-12-11,50,50,0,0.00,0,
FREN,2017-12-08,50,50,0,0.00,900,
FREN,2017-12-07,50,50,0,0.00,1200,
FREN,2017-12-06,50,50,0,0.00,3500,
FREN,2017-12-05,50,50,0,0.00,900,
FREN,2017-12-04,50,50,0,0.00,443900,
FREN,2017-11-30,50,50,0,0.00,7100,
FREN,2017-11-29,50,50,0,0.00,82000,
FREN,2017-11-28,50,50,0,0.00,1676600,
FREN,2017-11-27,50,50,0,0.00,2700,
FREN,2017-11-24,50,50,0,0.00,22800,
FREN,2017-11-23,50,50,0,0.00,576300,
FREN,2017-11-22,50,50,0,0.00,1320300,
FREN,2017-11-21,50,50,0,0.00,10100,
FREN,2017-11-20,50,50,0,0.00,0,
FREN,2017-11-17,50,50,0,0.00,1000,
FREN,2017-11-16,50,50,0,0.00,112000,
FREN,2017-11-15,50,50,0,0.00,309000,
FREN,2017-11-14,50,50,0,0.00,560100,
FREN,2017-11-13,50,50,0,0.00,600,
FREN,2017-11-10,50,50,0,0.00,2800,
FREN,2017-11-09,50,50,0,0.00,1500,
FREN,2017-11-08,50,50,0,0.00,10100,
FREN,2017-11-07,50,50,0,0.00,0,
FREN,2017-11-06,50,50,0,0.00,10400,
FREN,2017-11-03,50,50,0,0.00,1600,
FREN,2017-11-02,50,50,0,0.00,338400,
FREN,2017-11-01,50,50,0,0.00,600,
FREN,2017-10-31,50,50,0,0.00,0,
FREN,2017-10-30,50,50,0,0.00,2700,
FREN,2017-10-27,50,50,0,0.00,26500,
FREN,2017-10-26,50,50,0,0.00,117200,
FREN,2017-10-25,50,50,0,0.00,8000,
FREN,2017-10-24,50,50,0,0.00,100,
FREN,2017-10-23,50,50,0,0.00,52800,
FREN,2017-10-20,50,50,0,0.00,5000,
FREN,2017-10-19,50,50,0,0.00,3220200,
FREN,2017-10-18,50,50,0,0.00,4100,
FREN,2017-10-17,50,50,0,0.00,2200,
FREN,2017-10-16,50,50,0,0.00,8000,
FREN,2017-10-13,50,50,0,0.00,3500,
FREN,2017-10-12,50,50,0,0.00,113500,
FREN,2017-10-11,50,50,0,0.00,52200,
FREN,2017-10-10,50,50,0,0.00,45100,
FREN,2017-10-09,50,50,0,0.00,2700,
FREN,2017-10-06,50,50,0,0.00,900,
FREN,2017-10-05,50,50,0,0.00,5000,
FREN,2017-10-04,50,50,0,0.00,45300,
FREN,2017-10-03,50,50,0,0.00,106600,
FREN,2017-10-02,50,50,0,0.00,5300,
FREN,2017-09-29,50,50,0,0.00,1900,
FREN,2017-09-28,50,50,0,0.00,150200,
FREN,2017-09-27,50,50,0,0.00,1000,
FREN,2017-09-26,50,50,0,0.00,1000,
FREN,2017-09-25,50,50,0,0.00,15400,
FREN,2017-09-22,50,50,0,0.00,5000,
FREN,2017-09-20,50,50,0,0.00,2000,
FREN,2017-09-19,50,50,0,0.00,4200,
FREN,2017-09-18,50,50,0,0.00,1600,
FREN,2017-09-15,50,50,0,0.00,3500,
FREN,2017-09-14,50,50,0,0.00,10400,
FREN,2017-09-13,50,50,0,0.00,200,
FREN,2017-09-12,50,50,0,0.00,1200,
FREN,2017-09-11,50,50,0,0.00,102000,
FREN,2017-09-08,50,50,0,0.00,110000,
FREN,2017-09-07,50,50,0,0.00,10900,
FREN,2017-09-06,50,50,0,0.00,4500,
FREN,2017-09-05,50,50,0,0.00,4700,
FREN,2017-09-04,50,50,0,0.00,14500,
FREN,2017-08-31,50,50,0,0.00,0,
FREN,2017-08-30,50,50,0,0.00,1900,
FREN,2017-08-29,50,50,0,0.00,10600,
FREN,2017-08-28,50,50,0,0.00,20500,
FREN,2017-08-25,50,50,0,0.00,122000,
FREN,2017-08-24,50,50,0,0.00,40000,
FREN,2017-08-23,50,50,0,0.00,4700,
FREN,2017-08-22,50,50,0,0.00,700,
FREN,2017-08-21,50,50,0,0.00,40100,
FREN,2017-08-18,50,50,0,0.00,3700,
FREN,2017-08-16,50,50,0,0.00,3200,
FREN,2017-08-15,50,50,0,0.00,0,
FREN,2017-08-14,50,50,0,0.00,7000,
FREN,2017-08-11,50,50,0,0.00,12900,
FREN,2017-08-10,50,50,0,0.00,3500,
FREN,2017-08-09,50,50,0,0.00,4300,
FREN,2017-08-08,50,50,0,0.00,3000,
FREN,2017-08-07,50,50,0,0.00,100000,
FREN,2017-08-04,50,50,0,0.00,6300,
FREN,2017-08-03,50,50,0,0.00,10800,
FREN,2017-08-02,50,50,0,0.00,13000,
FREN,2017-08-01,50,50,0,0.00,2900,
FREN,2017-07-31,50,50,0,0.00,14200,
FREN,2017-07-28,50,50,0,0.00,6900,
FREN,2017-07-27,50,50,0,0.00,2800,
FREN,2017-07-26,50,50,0,0.00,400,
FREN,2017-07-25,50,50,0,0.00,2400,
FREN,2017-07-24,50,50,0,0.00,2300,
FREN,2017-07-21,50,50,0,0.00,2900,
FREN,2017-07-20,50,50,0,0.00,1100,
FREN,2017-07-19,50,50,0,0.00,2000,
FREN,2017-07-18,50,50,0,0.00,100,
FREN,2017-07-17,50,50,0,0.00,69600,
FREN,2017-07-14,50,50,0,0.00,100400,
FREN,2017-07-13,50,50,0,0.00,14200,
FREN,2017-07-12,50,50,0,0.00,254200,
FREN,2017-07-11,50,50,0,0.00,10500,
FREN,2017-07-10,50,50,0,0.00,21300,
FREN,2017-07-07,50,50,0,0.00,1900,
FREN,2017-07-06,50,50,0,0.00,64200,
FREN,2017-07-05,50,50,0,0.00,3900,
FREN,2017-07-04,50,50,0,0.00,37700,
FREN,2017-07-03,50,50,0,0.00,253900,
FREN,2017-06-22,50,50,0,0.00,48700,
FREN,2017-06-21,50,50,0,0.00,24900,
FREN,2017-06-20,50,50,0,0.00,26600,
FREN,2017-06-19,50,50,0,0.00,1300,
FREN,2017-06-16,50,50,0,0.00,101100,
FREN,2017-06-15,50,50,0,0.00,10400,
FREN,2017-06-14,50,50,0,0.00,30500,
FREN,2017-06-13,50,50,0,0.00,23500,
FREN,2017-06-12,50,50,0,0.00,503500,
FREN,2017-06-09,50,50,0,0.00,38500,
FREN,2017-06-08,50,50,0,0.00,101700,
FREN,2017-06-07,50,50,0,0.00,2000,
FREN,2017-06-06,50,50,0,0.00,15300,
FREN,2017-06-05,50,50,0,0.00,6500,
FREN,2017-06-02,50,50,0,0.00,239700,
FREN,2017-05-31,50,50,0,0.00,32100,
FREN,2017-05-30,50,50,0,0.00,48900,
FREN,2017-05-29,50,50,0,0.00,46600,
FREN,2017-05-26,50,50,0,0.00,66100,
FREN,2017-05-24,50,50,0,0.00,44100,
FREN,2017-05-23,50,50,0,0.00,1305800,
FREN,2017-05-22,50,50,0,0.00,1867700,
FREN,2017-05-19,50,50,0,0.00,1528800,
FREN,2017-05-18,50,50,0,0.00,271100,
FREN,2017-05-17,50,50,0,0.00,320900,
FREN,2017-05-16,50,50,0,0.00,286500,
FREN,2017-05-15,51,50,-1,-1.96,934700,
FREN,2017-05-12,50,51,1,2.00,1190000,
FREN,2017-05-10,50,50,0,0.00,2821100,
FREN,2017-05-09,51,50,-1,-1.96,4798000,
FREN,2017-05-08,52,51,-1,-1.92,3225700,
FREN,2017-05-05,52,52,0,0.00,1421000,
FREN,2017-05-04,52,52,0,0.00,501100,
FREN,2017-05-03,52,52,0,0.00,271200,
FREN,2017-05-02,52,52,0,0.00,622000,
FREN,2017-04-28,52,52,0,0.00,406200,
FREN,2017-04-27,52,52,0,0.00,74700,
FREN,2017-04-26,52,52,0,0.00,2030200,
FREN,2017-04-25,52,52,0,0.00,201700,
FREN,2017-04-21,53,52,-1,-1.89,2305900,
FREN,2017-04-20,52,53,1,1.92,859700,
FREN,2017-04-18,54,52,-2,-3.70,1159200,
FREN,2017-04-17,54,54,0,0.00,633700,
FREN,2017-04-13,53,54,1,1.89,1272100,
FREN,2017-04-12,54,53,-1,-1.85,2841200,
FREN,2017-04-11,54,54,0,0.00,5814200,
FREN,2017-04-10,54,54,0,0.00,924700,
FREN,2017-04-07,54,54,0,0.00,1415600,
FREN,2017-04-06,54,54,0,0.00,825900,
FREN,2017-04-05,54,54,0,0.00,1634700,
FREN,2017-04-04,53,54,1,1.89,6445900,
FREN,2017-04-03,54,53,-1,-1.85,2049700,
FREN,2017-03-31,53,54,1,1.89,7092400,
FREN,2017-03-29,53,53,0,0.00,3700100,
FREN,2017-03-24,53,54,1,1.89,3288600,
FREN,2017-03-23,53,53,0,0.00,3133100,
FREN,2017-03-22,55,53,-2,-3.64,3548500,
FREN,2017-03-21,54,55,1,1.85,4250700,
FREN,2017-03-20,53,54,1,1.89,12927900,
FREN,2017-03-17,51,53,2,3.92,39438200,
FREN,2017-03-16,51,51,0,0.00,2234300,
FREN,2017-03-15,51,51,0,0.00,1025000,
FREN,2017-03-14,51,51,0,0.00,1628700,
FREN,2017-03-13,51,51,0,0.00,6343700,
FREN,2017-03-10,50,51,1,2.00,1236100,
FREN,2017-03-09,50,50,0,0.00,950800,
FREN,2017-03-08,50,50,0,0.00,4316800,
FREN,2017-03-07,50,50,0,0.00,5508500,
FREN,2017-03-06,50,50,0,0.00,380700,
FREN,2017-03-03,50,50,0,0.00,251200,
FREN,2017-03-02,50,50,0,0.00,3013600,
FREN,2017-03-01,50,50,0,0.00,6512400,
FREN,2017-02-28,51,50,-1,-1.96,7651900,
FREN,2017-02-27,50,51,1,2.00,6090000,
FREN,2017-02-24,54,50,-4,-7.41,44382500,
FREN,2017-02-23,55,54,-1,-1.82,4108400,
FREN,2017-02-22,55,55,0,0.00,3717400,
FREN,2017-02-21,58,55,-3,-5.17,7188100,
FREN,2017-02-20,59,58,-1,-1.69,602300,
FREN,2017-02-17,59,59,0,0.00,1682800,
FREN,2017-02-16,61,59,-2,-3.28,1888100,
FREN,2017-02-14,62,61,-1,-1.61,1801600,
FREN,2017-02-13,62,62,0,0.00,1834300,
FREN,2017-02-10,61,62,1,1.64,8757600,
FREN,2017-02-09,61,61,0,0.00,2093400,
FREN,2017-02-08,61,61,0,0.00,13577600,
FREN,2017-02-07,61,61,0,0.00,1175900,
FREN,2017-02-06,61,61,0,0.00,794600,
FREN,2017-02-03,61,61,0,0.00,1236400,
FREN,2017-02-02,61,61,0,0.00,2328600,
FREN,2017-02-01,61,61,0,0.00,5294900,
FREN,2017-01-30,61,61,0,0.00,1655400,
FREN,2017-01-27,61,61,0,0.00,2402200,
FREN,2017-01-26,64,61,-3,-4.69,16206700,
FREN,2017-01-25,62,64,2,3.23,5452000,
FREN,2017-01-24,63,62,-1,-1.59,2134600,
FREN,2017-01-23,61,63,2,3.28,2153300,
FREN,2017-01-20,63,61,-2,-3.17,5119900,
FREN,2017-01-19,64,63,-1,-1.56,1360600,
